130.191.15.71	wrac3sip.sdsu.edu
130.191.15.72	wrac4sip.sdsu.edu
130.191.15.73	lmd1dev.sdsu.edu
130.191.15.74	lmd1.sdsu.edu
130.191.15.75	etsdb.sdsu.edu
130.191.15.76	etsdbdev.sdsu.edu
130.191.15.77	aimiq.sdsu.edu
130.191.15.78	bisxps.sdsu.edu
130.191.15.79	aimiqdev.sdsu.edu
130.191.15.80	linus.sdsu.edu
130.191.15.81	pp-gfms.sdsu.edu
130.191.15.82	idmdevldap.sdsu.edu
130.191.15.83	aimapp.ba.sdsu.edu
130.191.15.84	aimappdev.sdsu.edu
130.191.15.85	blackstone.sdsu.edu
130.191.15.96	wrac5p.sdsu.edu
130.191.15.97	wrac6p.sdsu.edu
130.191.15.98	wrac1s.sdsu.edu
130.191.15.99	wrac2s.sdsu.edu
130.191.15.100	cayman.sdsu.edu
130.191.15.101	wrac3s.sdsu.edu
130.191.15.102	wrac4s.sdsu.edu
130.191.15.105	idf.sdsu.edu
130.191.15.106	templateadm.sdsu.edu
130.191.15.107	ucotestadm.sdsu.edu
130.191.15.108	sdprdadm.sdsu.edu
130.191.15.109	sdrptadm.sdsu.edu
130.191.15.110	splice.sdsu.edu
130.191.15.115	vmreset.ba.sdsu.edu
130.191.15.120	cvmsilver.sdsu.edu
130.191.15.130	smtp.sdsu.edu
130.191.15.131	sdrptapex.sdsu.edu
130.191.15.132	sdprdapex.sdsu.edu
130.191.15.133	smtp2.sdsu.edu
130.191.15.134	mail3.sdsu.edu
130.191.15.135	ucotest.sdsu.edu
130.191.15.136	templateweb.sdsu.edu
130.191.15.139	alvandmp.sdsu.edu
130.191.15.140	vault.sdsu.edu
130.191.15.141	bisodc.sdsu.edu
130.191.15.142	santorini.sdsu.edu
130.191.15.143	mykonos.sdsu.edu
130.191.15.144	corsica.sdsu.edu
130.191.15.145	curacao.sdsu.edu
130.191.15.146	tahiti.sdsu.edu
130.191.15.147	fiji.sdsu.edu
130.191.15.148	bisofr.sdsu.edu
130.191.15.149	hrtstcweb.sdsu.edu
130.191.15.150	capri.sdsu.edu
130.191.15.151	cabo.sdsu.edu
130.191.15.152	wash.sdsu.edu
130.191.15.153	hrprdcweb.sdsu.edu
130.191.15.157	biststwec.sdsu.edu
130.191.15.158	bisprdwec.sdsu.edu
130.191.15.159	spiceworks01.sdsu.edu
130.191.15.160	voicemail.sdsu.edu
130.191.15.161	biststwfr.sdsu.edu
130.191.15.162	bisprdwfr.sdsu.edu
130.191.15.163	capture.sdsu.edu
130.191.15.165	astratest.sdsu.edu
130.191.15.167	roomschedule.sdsu.edu
130.191.15.168	sunspot.sdsu.edu
130.191.15.178	pas1.sdsu.edu
130.191.15.180	ucocloud.sdsu.edu
130.191.15.181	svm-netapp1bronze.sdsu.edu
130.191.15.182	svm-netapp2bronze.sdsu.edu
130.191.15.183	asgrad.sdsu.edu
130.191.15.184	ucotestweb.sdsu.edu
130.191.15.187	fsrequest.sdsu.edu
130.191.15.188	sdprdweb.sdsu.edu
130.191.15.189	sdrptweb.sdsu.edu
130.191.15.190	alva.sdsu.edu
130.191.15.191	sdsuid.sdsu.edu
130.191.15.192	pas2.sdsu.edu
130.191.15.195	kanga.sdsu.edu
130.191.15.200	sas1.sdsu.edu
130.191.15.201	sas2.sdsu.edu
130.191.15.203	das2.sdsu.edu
130.191.15.204	mediasitestream.sdsu.edu
130.191.15.205	phonebook.sdsu.edu
130.191.15.206	moonspot.sdsu.edu
130.191.15.210	mediasite.sdsu.edu
130.191.15.211	mediasitenas.sdsu.edu
130.191.15.212	sd12dweb.sdsu.edu
130.191.15.213	sd12cweb.sdsu.edu
130.191.15.214	sd12qweb.sdsu.edu
130.191.15.215	csheriff01.sdsu.edu
130.191.15.216	sd12sweb.sdsu.edu
130.191.15.217	sd12tweb.sdsu.edu
130.191.15.220	idmdev.sdsu.edu
130.191.15.221	sd12sapex.sdsu.edu
130.191.15.222	sd12dapex.sdsu.edu
130.191.15.223	sd12capex.sdsu.edu
130.191.15.230	idm.sdsu.edu
130.191.15.231	ldap.sdsu.edu
130.191.15.232	lcd1.sdsu.edu
130.191.15.233	lcd2.sdsu.edu
130.191.15.234	azteclinkweb.sdsu.edu
130.191.15.235	idp.sdsu.edu
130.191.15.236	azteclinkwebdev.sdsu.edu
130.191.15.237	idpt.sdsu.edu
130.191.15.238	sd12qapex.sdsu.edu
130.191.15.239	cvmgen.sdsu.edu
130.191.15.240	cvmbronze.sdsu.edu
130.191.15.242	sd12tapex.sdsu.edu
130.191.15.246	hd.sdsu.edu
130.191.15.247	splunksearcher1.sdsu.edu
130.191.15.248	splunksearcher2.sdsu.edu
130.191.15.249	video.sdsu.edu
130.191.15.250	bisdevwec.sdsu.edu
130.191.15.251	bisdevwfr.sdsu.edu
130.191.16.32	acres-1.sdsu.edu
130.191.16.33	acres-1-mac1.sdsu.edu
130.191.16.34	acres-1-mac2.sdsu.edu
130.191.16.35	acres-1-mac3.sdsu.edu
130.191.16.36	acres-1-mac4.sdsu.edu
130.191.16.37	acres-1-mac5.sdsu.edu
130.191.16.38	acres-1-mac6.sdsu.edu
130.191.16.39	acres-1-mac7.sdsu.edu
130.191.16.40	acres-1-mac8.sdsu.edu
130.191.16.41	acres-1-mac9.sdsu.edu
130.191.16.42	acres-1-mac10.sdsu.edu
130.191.16.43	acres-1-mac11.sdsu.edu
130.191.16.44	acres-1-mac12.sdsu.edu
130.191.16.45	acres-1-mac13.sdsu.edu
130.191.16.46	acres-1-mac14.sdsu.edu
130.191.16.47	acres-1-mac15.sdsu.edu
130.191.16.48	acres-1-mac16.sdsu.edu
130.191.16.49	acres-1-mac17.sdsu.edu
130.191.16.50	acres-1-mac18.sdsu.edu
130.191.16.51	acres-1-mac19.sdsu.edu
130.191.16.52	acres-1-mac20.sdsu.edu
130.191.16.53	acres-1-mac21.sdsu.edu
130.191.16.54	acres-1-mac22.sdsu.edu
130.191.16.55	acres-1-mac23.sdsu.edu
130.191.16.56	acres-1-mac24.sdsu.edu
130.191.16.57	acres-1-mac25.sdsu.edu
130.191.16.58	acres-1-mac26.sdsu.edu
130.191.16.59	acres-1-mac27.sdsu.edu
130.191.16.60	acres-1-mac28.sdsu.edu
130.191.16.61	acres-1-mac29.sdsu.edu
130.191.16.62	acres-1-mac30.sdsu.edu
130.191.16.68	ba.sdsu.edu
130.191.16.74	eeyore.sdsu.edu
130.191.16.80	xcalibur.sdsu.edu
130.191.16.82	defiant.sdsu.edu
130.191.16.83	archangel.sdsu.edu
130.191.16.84	celeborn.sdsu.edu
130.191.16.86	eventctr.sdsu.edu
130.191.16.189	roo.sdsu.edu
130.191.16.198	chakotay.sdsu.edu
130.191.17.9	libpac.sdsu.edu
130.191.17.10	libepo.lib.sdsu.edu
130.191.17.11	rivendell.sdsu.edu
130.191.17.12	usdocs.lib.sdsu.edu
130.191.17.13	cimarron.sdsu.edu
130.191.17.14	digital.sdsu.edu
130.191.17.15	beachbreak.sdsu.edu
130.191.17.16	lockss.lib.sdsu.edu
130.191.17.19	sierra-db.sdsu.edu
130.191.17.20	circuit.sdsu.edu
130.191.17.22	sunwebdevel.sdsu.edu
130.191.17.25	moria, moria.lib.sdsu.edu, moria.sdsu.edu
130.191.17.26	testbox.lib.sdsu.edu
130.191.17.29	opus.sdsu.edu
130.191.17.30	rohancp.sdsu.edu
130.191.17.31	polaris.sdsu.edu
130.191.17.33	digitallibrary.sdsu.edu
130.191.17.37	bookworm.sdsu.edu
130.191.17.38	libproxy.sdsu.edu
130.191.17.42	misterq.sdsu.edu
130.191.17.44	gandalf.sdsu.edu
130.191.17.46	humanitieshub.sdsu.edu
130.191.17.50	edoras, edoras.sdsu.edu
